target,n_train,folds,mae_mean,mae_std
target_68,1659,5,0.007181881654918549,0.0010523873012257016
target_81,1659,5,0.007448897741606944,0.001038933700911427
target_70,1659,5,0.007516378648787866,0.0010233586965362376
target_19,1659,5,0.007593559817779727,0.0013647824335211107
target_44,1659,5,0.007842425513058766,0.0008933739974896363
target_71,1659,5,0.0079950942484568,0.0008607637966306429
target_0,1731,5,0.008189018497928375,0.002017012385615744
target_318,1857,5,0.00909341744849465,0.0012340999834851679
target_45,1771,5,0.009506243344572344,0.0010405905145207685
target_69,1771,5,0.009704355806365047,0.0009309358236208027
target_29,1771,5,0.009785898132448307,0.002437023732273514
target_113,1648,5,0.009803247643013656,0.0011152900985974639
target_153,1648,5,0.009818330233665027,0.0013115894839416124
target_138,1648,5,0.009950958082819953,0.0016629341771289138
target_23,1771,5,0.009986582348430247,0.0010346090920268394
target_59,1538,5,0.0101473001716914,0.0016040300711520474
target_86,1771,5,0.010185059961752214,0.0026550581844110555
target_2,1771,5,0.010318781178234333,0.0010322711724380113
target_80,1538,5,0.01034614006101607,0.0018317770807652883
target_60,1771,5,0.01039330275660526,0.0021093416904377593
target_61,1688,5,0.010404762443521662,0.0026720317168849417
target_74,1771,5,0.010641831538235084,0.000944104237183552
target_15,1771,5,0.010699309973200625,0.002965922889977783
target_35,1538,5,0.010764429305632841,0.001482854328310902
target_37,1688,5,0.010778845434465025,0.001827245076072749
target_36,1771,5,0.010780116925485446,0.0014258496224698926
target_105,1688,5,0.01080830635356776,0.0011134443189852203
target_39,1771,5,0.010813417913659404,0.002385818526431295
target_26,1771,5,0.010839036210116518,0.0008648622620773755
target_9,1771,5,0.010907242495354848,0.0015210956740395539
target_64,1771,5,0.010970318542048248,0.002751156374337567
target_8,1538,5,0.010992482667070171,0.0016350939527685338
target_3,1771,5,0.011013943012350424,0.001711470350731647
target_18,1771,5,0.011075239294456245,0.002224348127888692
target_106,1731,5,0.01108122482003511,0.0020272746635041253
target_103,1688,5,0.01131891544289776,0.0013416608366177108
target_89,1771,5,0.011408389680357872,0.0024637479098996167
target_4,1578,5,0.011502606245921376,0.0018320561353207439
target_43,1771,5,0.011544237774831696,0.002360583684007961
target_73,1688,5,0.011545196826673832,0.001108853526408086
target_25,1688,5,0.011606565926957848,0.002333679373655258
target_6,1771,5,0.011615181950588058,0.002006692838451076
target_11,1771,5,0.01174332851120878,0.0011681505486228602
target_13,1771,5,0.011983156982524062,0.0012327801479638664
target_270,1524,5,0.0119890073591952,0.002360190102340853
target_94,1688,5,0.012089681669598371,0.0022266223651504348
target_301,1645,5,0.012121557855746132,0.0017651056192184657
target_58,1538,5,0.012123192090535428,0.002117084108656897
target_56,1771,5,0.012175484261339579,0.0015877141120132184
target_20,1771,5,0.012213900027857768,0.001535138574448789
target_212,1857,5,0.01222652595618744,0.001353647191678067
target_169,1755,5,0.012289832334016733,0.0010293038680540376
target_1,1688,5,0.012506279679755983,0.0025999445657860073
target_34,1659,5,0.01252408944583433,0.0018672180100378832
target_46,1688,5,0.012529910052447432,0.002331281234617956
target_84,1771,5,0.01253038176158559,0.001539988596262766
target_115,1648,5,0.012550167759782108,0.001525527165453207
target_87,1771,5,0.012621917069244079,0.0017948404076260633
target_145,1648,5,0.012709573215303974,0.001267118563012204
target_14,1659,5,0.012723635088092506,0.0014499283986082996
target_12,1659,5,0.012734062236096726,0.0016002290110051244
target_101,1659,5,0.01278727008807438,0.001835957301179252
target_102,1688,5,0.012790591608776405,0.0015942872164890988
target_54,1538,5,0.012891457322861576,0.0016294266295356922
target_10,1538,5,0.012896588455085862,0.0016801881024458745
target_57,1538,5,0.012924860369991086,0.0017783529528017637
target_76,1771,5,0.012943593516393747,0.0015004873817469101
target_280,1645,5,0.012986973717101396,0.002081303871039235
target_200,1755,5,0.01330757332215322,0.001522829766124521
target_96,1688,5,0.01342294701192653,0.001785900784511843
target_31,1688,5,0.013425717678455282,0.0011529492219451583
target_72,1688,5,0.013535882687003942,0.002185934007412878
target_33,1538,5,0.013635374633718014,0.001731756197929816
target_184,1528,5,0.013674829050916982,0.002370472147821319
target_281,1645,5,0.013767661021207384,0.0014317129080360692
target_382,1645,5,0.013834152504299504,0.001821411250973272
target_312,1645,5,0.013854380033822134,0.001720384520441087
target_7,1688,5,0.013905710771890473,0.0016929608675292681
target_189,1755,5,0.013912934843285967,0.0017317552010590522
target_155,1755,5,0.013944580603434115,0.003579101548579919
target_16,1688,5,0.013946159623938581,0.0017084741287005736
target_161,1755,5,0.014076257548056095,0.001793535803740891
target_119,1755,5,0.01413985628620725,0.001902197476657537
target_99,1538,5,0.014258745152637763,0.0029451873782076654
target_120,1755,5,0.014275122827547615,0.003340412453478243
target_122,1528,5,0.014275988794830451,0.0014583461415521729
target_75,1688,5,0.014331737350804546,0.0019717341210773644
target_177,1755,5,0.014385631014219327,0.0030164168180377717
target_198,1755,5,0.014444295883094958,0.0028942171175030855
target_92,1538,5,0.014536308826770993,0.001992275935190157
target_117,1755,5,0.01454912665274748,0.0017878292369233706
target_265,1756,5,0.014654956723547344,0.0015510527165932713
target_207,1528,5,0.014856752371591776,0.002745935865657964
target_284,1645,5,0.015009156760217782,0.002302294561998247
target_351,1645,5,0.015140830809751296,0.0028473368175545204
target_295,1756,5,0.015194733132755645,0.0020647749557534934
target_112,1552,5,0.01519682604548378,0.0015932162936609495
target_66,1538,5,0.01520756571878579,0.002388674358486647
target_251,1756,5,0.015244667131154318,0.0016474926799118245
target_274,1673,5,0.01529080825760036,0.002753540773724625
target_162,1755,5,0.015293512520924956,0.0019781309826528604
target_47,1688,5,0.015349276840385204,0.0014449922528950417
target_250,1673,5,0.015456035063080183,0.002155468361326412
target_222,1645,5,0.015481094144158488,0.0022460946973035913
target_21,1688,5,0.015501197869393907,0.001661663658136029
target_98,1688,5,0.015529021802440895,0.0019698794952018677
target_52,1538,5,0.01553311700187889,0.0016082687491945228
target_414,1530,5,0.01569209852401942,0.003154010668872155
target_133,1755,5,0.015744304618219837,0.0021935937719980967
target_141,1755,5,0.015752904766351772,0.00212844574056626
target_413,1645,5,0.015798990942902512,0.002254673153605692
target_125,1755,5,0.01581073405518702,0.0016891979363908034
target_223,1756,5,0.01581404654778428,0.0019412971629685215
target_164,1672,5,0.015816125379373852,0.0028903047497134716
target_137,1672,5,0.015962584675851536,0.0033626485031344384
target_170,1755,5,0.01597998483504114,0.002233284878653444
target_168,1672,5,0.016051202060719767,0.00180951814605286
target_48,1688,5,0.016051721972929468,0.0030754048187540627
target_108,1755,5,0.016055397498547487,0.0026643165666513924
target_156,1672,5,0.016066480348220995,0.001624920674519734
target_160,1672,5,0.016092224386720977,0.0029619768689810467
target_5,1578,5,0.016119318284945762,0.0010128208602783022
target_51,1538,5,0.016305931973096207,0.004532047114253323
target_93,1688,5,0.016346370311966223,0.0028230273151336606
target_97,1688,5,0.016434538308026495,0.003708395451005217
target_109,1552,5,0.016514383184373833,0.0028047037903304608
target_190,1672,5,0.016629892913673564,0.0037200547187209282
target_229,1756,5,0.0166721612256721,0.001760533796387947
target_129,1755,5,0.016744523011338396,0.002101808640050033
target_337,1757,5,0.01677022386123597,0.001744926714847405
target_182,1755,5,0.01685903135312249,0.002548369275946441
target_303,1524,5,0.016897042964983167,0.003059671815185839
target_205,1672,5,0.016929443134348306,0.0020332636121408658
target_211,1755,5,0.0170010590469781,0.0017864013167703246
target_306,1756,5,0.01700399968306982,0.0023774077783682264
target_196,1755,5,0.017099851437071732,0.0038581737025458838
target_107,1672,5,0.017191984546254938,0.002686249028572897
target_104,1538,5,0.017211300317916012,0.0020187569369249413
target_188,1755,5,0.01721143434261773,0.0021579764092377455
target_100,1688,5,0.017247947536132582,0.001478429345724345
target_187,1648,5,0.01726869132328581,0.0017773356416254972
target_28,1688,5,0.017314173600869905,0.002284482935198476
target_114,1648,5,0.01731927847133561,0.0022428650462424583
target_294,1673,5,0.01733100733227764,0.0028426210443122466
target_194,1528,5,0.017363242199768116,0.002533155510693791
target_232,1524,5,0.017402779979922758,0.0033412470486842124
target_134,1672,5,0.017499134732336868,0.002643882400968487
target_191,1672,5,0.01756565772125682,0.0026478812462440637
target_90,1688,5,0.017573723549858245,0.0036891360208439437
target_348,1645,5,0.01757824389557511,0.002208098374634741
target_259,1673,5,0.01760990328616549,0.0022033866022562105
target_292,1673,5,0.017678562899679867,0.0018998762650044609
target_88,1688,5,0.017719609015620093,0.0018734435993692344
target_178,1755,5,0.017799206904974007,0.0028604033608896607
target_127,1755,5,0.017828701106068358,0.002775885874203856
target_277,1756,5,0.017931010881824243,0.00292528068484226
target_268,1756,5,0.017974976454982302,0.002855321210873437
target_136,1672,5,0.018010120991482838,0.002586459946610188
target_214,1553,5,0.018049332703010436,0.001699329769306364
target_148,1528,5,0.018099660609728424,0.0020042325148793747
target_171,1648,5,0.018108854411138468,0.0027635560881098887
target_131,1672,5,0.018116465958313475,0.0026943456926265784
target_197,1648,5,0.018120891856841254,0.0019471308280153005
target_55,1688,5,0.018153236931073714,0.002034605637327074
target_210,1528,5,0.01828426092945242,0.002274706665167521
target_309,1673,5,0.01841821956094016,0.0026036588998832053
target_220,1673,5,0.018420964178421474,0.005046391648576756
target_400,1757,5,0.018483483173649597,0.002604120668479441
target_175,1528,5,0.0185134446598899,0.002420470240063896
target_236,1756,5,0.018592900936617116,0.002784728055130727
target_299,1756,5,0.018594577038408396,0.005209035931466986
target_213,1756,5,0.01859579513616231,0.0024672746308278966
target_264,1673,5,0.01861415203980836,0.0023570078121298767
target_118,1755,5,0.018616473963977538,0.0023678933036670314
target_111,1552,5,0.018773865462381478,0.0019172881788596732
target_218,1756,5,0.018799768698458556,0.0035304312834786972
target_240,1756,5,0.01882158383335619,0.0032640000312562584
target_38,1538,5,0.018842066404403585,0.0027894852168444326
target_202,1672,5,0.01888089178684688,0.0026790978484729348
target_77,1688,5,0.018928457412383436,0.0035692514635505953
target_167,1672,5,0.018962472597807374,0.002685096524805
target_91,1688,5,0.018993032349361217,0.002288853718872266
target_415,1757,5,0.018994097575913173,0.0027187885310412663
target_186,1672,5,0.01900437062680732,0.0028205866126429103
target_63,1538,5,0.019047411629600948,0.004237980363562889
target_159,1528,5,0.019053910401571762,0.002562599459762445
target_398,1530,5,0.019069966808876092,0.004038208871789014
target_116,1755,5,0.0190823189312621,0.0033598188787106967
target_166,1672,5,0.01912681312806459,0.0017072479745319964
target_271,1673,5,0.01915343424595152,0.001654596109108452
target_392,1757,5,0.019220951575266744,0.0026947870291748055
target_367,1757,5,0.019257366673715914,0.0030278306196033925
target_347,1674,5,0.0193118643997683,0.0021626870820145873
target_279,1673,5,0.019363808516754063,0.003630011995315455
target_346,1530,5,0.01941273945952885,0.003629588445521469
target_258,1673,5,0.019486001095766217,0.0032535742185317205
target_323,1757,5,0.019496004542211794,0.003480419052174836
target_383,1757,5,0.0195897207836919,0.002631730659254188
target_291,1673,5,0.019606671172939974,0.003922560417778421
target_330,1757,5,0.01969132498605887,0.0019556678445429615
target_419,1757,5,0.019700224973571205,0.0038062833305253217
target_416,1674,5,0.019718408109744134,0.00260706790448965
target_215,1553,5,0.01974093340492169,0.002196778337122433
target_152,1672,5,0.019802471290594516,0.003183548152124367
target_358,1674,5,0.01981301656724669,0.002073650374282435
target_410,1757,5,0.019929245224232235,0.005035137386215808
target_389,1674,5,0.019967520941641843,0.003467482488861525
target_239,1645,5,0.01997294967564701,0.002487383832771613
target_326,1530,5,0.019980654745742208,0.002574572882344371
target_219,1756,5,0.020036538835032112,0.0029840595702651904
target_386,1757,5,0.02014051424667485,0.0037355256563167626
target_321,1757,5,0.02019209501653759,0.004091346315524522
target_53,1688,5,0.020266925128112866,0.004592100742946599
target_243,1673,5,0.020276167430204755,0.0036557758259520745
target_319,1757,5,0.02028283994183256,0.004592235618959222
target_217,1553,5,0.0203115290420974,0.0033342555196259637
target_238,1524,5,0.020338212616703575,0.002624118255496387
target_381,1757,5,0.02038371780533541,0.0037353325419004777
target_310,1645,5,0.02045174881511249,0.0029933619588644695
target_27,1688,5,0.020508836815721364,0.004637878423556106
target_228,1756,5,0.02053436883714383,0.0029073305219618753
target_231,1756,5,0.02053871149496329,0.0030801892644825527
target_110,1552,5,0.020581380400571024,0.0029896592732564283
target_128,1528,5,0.020589104280825152,0.0020225484273959818
target_262,1524,5,0.020597380916181775,0.002789725399484952
target_376,1674,5,0.020642029031726555,0.0032239702396394533
target_377,1674,5,0.020668297640739873,0.0032087865102371446
target_62,1538,5,0.020677938748912536,0.005367749627393646
target_275,1645,5,0.02088075495011709,0.0016113711768953366
target_172,1672,5,0.02099336123471974,0.0028149659363782666
target_253,1673,5,0.02101045024522116,0.0038473987575546945
target_227,1756,5,0.021037057345592733,0.002894120609216502
target_285,1524,5,0.0210667353516187,0.0022840999939445126
target_260,1645,5,0.021070039192839295,0.0024371963738933225
target_405,1757,5,0.021124951333817643,0.004631627111446694
target_83,1688,5,0.02116265471370634,0.005174751039495442
target_49,1688,5,0.0212823127963246,0.0032295429395436874
target_234,1756,5,0.021338677255332016,0.0034550123126084616
target_256,1524,5,0.021342529832139988,0.0027614397366114494
target_50,1538,5,0.021425183430436458,0.0045442122464230406
target_206,1672,5,0.02153277610634697,0.0034939832855196144
target_185,1528,5,0.021558096005654816,0.0023269503156449814
target_24,1538,5,0.02158282460850241,0.0037848073177561593
target_254,1645,5,0.021638385456349083,0.002561884134419785
target_179,1528,5,0.021694231357319186,0.002019426296038819
target_32,1688,5,0.02178389235368652,0.004165853952535723
target_345,1757,5,0.02185330773142094,0.004020328109622516
target_349,1674,5,0.021888423352824826,0.0039585717121257075
target_221,1645,5,0.021927134659207044,0.0031045389327821952
target_322,1757,5,0.02200834746832032,0.004199168064343942
target_408,1757,5,0.02207175047722367,0.005219981781858307
target_95,1688,5,0.022072057001867533,0.008096795731527733
target_126,1672,5,0.02212181559060935,0.003912283957509458
target_17,1538,5,0.02216690439497964,0.005882777326776298
target_283,1756,5,0.022168819705322945,0.0033074098064823365
target_363,1645,5,0.022254772489131686,0.00285263805102442
target_151,1672,5,0.022309018799655266,0.004108668288526728
target_308,1645,5,0.02233634562119801,0.003633579139948139
target_379,1674,5,0.022351091152655177,0.004039003412836032
target_22,1538,5,0.022470874388261817,0.004353967316235724
target_41,1688,5,0.022545800640216926,0.00364808412849456
target_420,1530,5,0.022575976232942406,0.003274114187975032
target_409,1757,5,0.02259179654816835,0.003522140859889148
target_289,1673,5,0.02259613775545924,0.0019011774339693236
target_273,1673,5,0.022613563639175053,0.0018888949258985847
target_233,1673,5,0.02269986169487301,0.0029706551105088772
target_149,1528,5,0.022711235490876853,0.003403823013372341
target_298,1673,5,0.022812809925329854,0.0030998690139458053
target_371,1645,5,0.022848524243358048,0.0019252654128912021
target_350,1674,5,0.022893923100535948,0.003867109358443334
target_199,1672,5,0.02291971251544673,0.006165119200085663
target_372,1645,5,0.022925917061338747,0.0029191658018117884
target_360,1674,5,0.022992415924176907,0.004312934217362355
target_201,1672,5,0.02306785818139615,0.0015543630482649819
target_340,1530,5,0.023122835752693815,0.0037661457647316697
target_245,1645,5,0.023146499154815228,0.002770620676615878
target_380,1674,5,0.023206949525862587,0.0043788150461143574
target_339,1674,5,0.02335512546348235,0.003999609132763641
target_368,1645,5,0.023368645143356407,0.0021011034863816637
target_67,1538,5,0.023384629097906933,0.006141532275481316
target_402,1645,5,0.023406434562768814,0.002480709710344522
target_406,1757,5,0.023420301012471438,0.004309024117061796
target_422,1645,5,0.02342544566561042,0.0022522498547429648
target_341,1530,5,0.02343877179584717,0.002750997797108537
target_203,1672,5,0.02343977533234274,0.001982544915653753
target_375,1645,5,0.02347447280606962,0.00263473715663959
target_146,1672,5,0.023687641940760156,0.0045255598264483336
target_30,1688,5,0.02380947344893555,0.003161774040983964
target_180,1528,5,0.023819819026935474,0.003145238926918887
target_374,1757,5,0.024013067735983117,0.005360152908056951
target_85,1538,5,0.024049502756199416,0.00588889394501743
target_135,1672,5,0.02406491530965287,0.003004555336922157
target_359,1674,5,0.02413039429446253,0.004085379420516711
target_304,1673,5,0.024135972456717412,0.0023826566486811313
target_388,1674,5,0.024156588337090452,0.004058058057555839
target_421,1674,5,0.024297551945987993,0.004240661860716184
target_418,1757,5,0.02430745428745231,0.004430593069063264
target_242,1756,5,0.024356230321061188,0.0036139886628101772
target_132,1672,5,0.02439523739151371,0.003681574888293222
target_332,1674,5,0.024414883088236493,0.004334725107643578
target_336,1757,5,0.024419428563775006,0.005359106784593469
target_401,1674,5,0.024456837310237282,0.004112315071394993
target_216,1553,5,0.02452407975981672,0.0038402878537684296
target_305,1673,5,0.02458869046822769,0.00296609687183767
target_296,1673,5,0.024693920210622625,0.0022304295481088473
target_124,1672,5,0.024759174915145028,0.004096339031163012
target_42,1688,5,0.024879246546455312,0.001645990373104357
target_123,1528,5,0.02499867449016539,0.0039757681042525625
target_407,1645,5,0.02499923602035547,0.0023927981124572356
target_204,1528,5,0.025082564668699993,0.0022441673879192653
target_65,1688,5,0.02518639672146588,0.007398655510150276
target_316,1673,5,0.025326656913336493,0.00386140636423546
target_417,1645,5,0.025330803697900833,0.004172178143555395
target_311,1673,5,0.02533321236670341,0.003398363521023767
target_79,1688,5,0.02543086851246032,0.006145652813681106
target_150,1672,5,0.025673734930018545,0.0030394024505674246
target_353,1674,5,0.025904642339492683,0.0036833219020093663
target_320,1557,5,0.025913292221812906,0.0030661436327105787
target_154,1528,5,0.025974604517910976,0.008144396608919772
target_395,1674,5,0.026142061355689788,0.0044193255308350495
target_397,1674,5,0.02663535731121115,0.003851334699139845
target_82,1538,5,0.026706812401285113,0.0067647135518997025
target_314,1673,5,0.02671481754874287,0.0036056945211097625
target_183,1528,5,0.02690517598096267,0.0032510506967333543
target_163,1672,5,0.027199451832449352,0.005013641380597676
target_282,1673,5,0.027301856074465024,0.0030967989419064344
target_226,1673,5,0.02735625584362032,0.004709890944757213
target_324,1557,5,0.02747772621667103,0.004213236350773712
target_225,1524,5,0.027515310124471427,0.004783832143002942
target_192,1672,5,0.02757678990195207,0.006290289059820115
target_174,1672,5,0.027628993183143567,0.005520651929708174
target_293,1673,5,0.027756174396765677,0.003337783011292868
target_246,1673,5,0.027778309855729662,0.0018199204336958527
target_328,1530,5,0.027816211261734065,0.0026046229469370804
target_286,1524,5,0.027827113113876933,0.00554148981950159
target_385,1530,5,0.02818825643184068,0.0036501262931712933
target_157,1672,5,0.028208524289878707,0.0050265782566887435
target_121,1528,5,0.02840172752555517,0.006660245420947581
target_40,1688,5,0.028442614369451523,0.006011863328021572
target_390,1530,5,0.028504845619253795,0.008101503084210546
target_317,1524,5,0.0285633014004462,0.005342120883178462
target_370,1530,5,0.028566234529798416,0.0026957604856919235
target_143,1672,5,0.028648055488736217,0.0021995249026995887
target_313,1673,5,0.028842263027886627,0.004155208372355826
target_249,1673,5,0.02929198187187516,0.005252020221295961
target_130,1528,5,0.029382737252307323,0.005287675678600772
target_297,1673,5,0.029592801248709066,0.005376862955252031
target_378,1530,5,0.029721332727997173,0.003785557624340132
target_165,1672,5,0.029850493489200425,0.011918902042490383
target_78,1538,5,0.030005407707829806,0.004894682948402946
target_144,1672,5,0.03015680792573109,0.007464714275396655
target_255,1673,5,0.030223755703466425,0.004050634471109239
target_263,1673,5,0.030340439997142997,0.00922672589236531
target_158,1672,5,0.03038132479669165,0.00652565768180834
target_248,1673,5,0.030677955017231372,0.003602506773595389
target_176,1672,5,0.030955623428893624,0.007390852968503292
target_356,1530,5,0.031249091659408212,0.005061541300320728
target_209,1672,5,0.03128214007994112,0.006141247426854392
target_391,1674,5,0.031526326104334715,0.0036334282509113166
target_208,1672,5,0.03160967905362346,0.0081283391689281
target_333,1674,5,0.031626084084155105,0.002205551249568466
target_290,1524,5,0.0317167576910628,0.006468165123330854
target_354,1674,5,0.03176530419836963,0.005094623485898629
target_327,1674,5,0.03219370076265364,0.005920348604109054
target_237,1673,5,0.03224075042956449,0.004755841814468682
target_302,1524,5,0.03265571865221036,0.0056339053522195875
target_369,1674,5,0.032744267280297515,0.005767370159325261
target_365,1674,5,0.03303222902955802,0.0036739217895481262
target_344,1674,5,0.033060028177181996,0.00438403331640475
target_252,1524,5,0.0334279030906096,0.006867876593726898
target_181,1672,5,0.03371997770337102,0.008592804872270808
target_412,1674,5,0.033748169577106676,0.00405936463669778
target_288,1524,5,0.033942097157477355,0.007618428636029514
target_355,1674,5,0.033974203109090606,0.0067165675292388954
target_140,1528,5,0.034289575947454534,0.005205840068347664
target_272,1673,5,0.03494443804448198,0.004431222491237088
target_142,1672,5,0.035163794399327424,0.010641191044500288
target_342,1674,5,0.03520351621786779,0.010414890535275674
target_147,1528,5,0.035827089800199816,0.001507945110559738
target_278,1673,5,0.036082914852850645,0.006827842888204999
target_139,1672,5,0.03611288937133279,0.008758737371559851
target_364,1530,5,0.03621466568582381,0.00524235177615461
target_307,1673,5,0.03626701268085632,0.009039994831591217
target_384,1674,5,0.0364930064912123,0.002710742276045418
target_257,1673,5,0.03725238344478214,0.005577548717246859
target_396,1674,5,0.03728206255328621,0.010406240298308823
target_269,1524,5,0.037454847939128344,0.0074276715815793995
target_287,1673,5,0.037553787122411565,0.008222438053586816
target_403,1530,5,0.037958621667662104,0.00697376633858495
target_261,1524,5,0.03813402101856535,0.00568884962358224
target_315,1673,5,0.038333748526327496,0.00929142727764626
target_362,1530,5,0.03846288162694243,0.004421456867950219
target_399,1674,5,0.038587353908523615,0.009494908251207265
target_300,1673,5,0.03926303053397508,0.010736987462447008
target_173,1672,5,0.03940798467805508,0.008232607552336159
target_387,1530,5,0.039552733831914974,0.006712683751389467
target_235,1524,5,0.03956000018278629,0.0141700702210461
target_266,1673,5,0.03962513745797299,0.0062402896873347165
target_338,1530,5,0.03969273279909624,0.010862530851904285
target_373,1674,5,0.03971234962603214,0.00857423044374153
target_334,1674,5,0.03975457929227061,0.008770346617663804
target_331,1530,5,0.04000505143181029,0.007449212907611805
target_366,1674,5,0.04024964208317193,0.008995544529572002
target_193,1672,5,0.0404972964185984,0.00641383772538628
target_195,1672,5,0.04093685479176033,0.007227085391474869
target_394,1674,5,0.04122872930401152,0.010629184178326262
target_224,1673,5,0.04164137538573121,0.01326687163899027
target_230,1673,5,0.04221231916659262,0.003920941998506949
target_247,1524,5,0.04251913342626935,0.00929570370085224
target_423,1674,5,0.042612409708498306,0.005693017539218668
target_335,1674,5,0.04279972510773184,0.01808290883257025
target_244,1673,5,0.04383919030481908,0.01275695627064114
target_361,1674,5,0.044193519320293216,0.007395879549206753
target_241,1673,5,0.04555330337151063,0.008537206556603756
target_352,1674,5,0.04601569591651593,0.01639660909618892
target_267,1673,5,0.04756310928186217,0.008432950845547167
target_276,1524,5,0.04776096673048314,0.010075650083754741
target_357,1674,5,0.0477736640734952,0.013282125029502354
target_325,1674,5,0.048222886324681864,0.0043929976207583
target_411,1674,5,0.04861571818407954,0.013455516763603077
target_343,1674,5,0.050340509269816605,0.013406251873629907
target_404,1530,5,0.05534994291616761,0.010660430996350051
target_393,1674,5,0.05543687193806537,0.010789273524612737
target_329,1530,5,0.05658842459137128,0.007394813963141927
